NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HSD17B4	1	Hsd17b4	
AKR1A1	1	Akr1a1	
FBP2	1	Fbp2	
AK2	1	Ak2	
MICOS13	1	2410015M20Rik	
IDH3B	1	Idh3b	
MICAL1	1	Mical1	
HDHD3	1	Hdhd3	
RBP2	1	Rbp2	
RNF186	1	Rnf186	
AAMDC	1	Aamdc	
NDUFB9	1	Ndufb9	
CCL25	1	Ccl25	
XDH	1	Xdh	
SLC5A11	1	Slc5a11	
PEPD	1	Pepd	
GDE1	1	Gde1	
NLRP6	1	Nlrp6	
CD55	1	Cd55	
CLDND1	1	Cldnd1	
COPB2	1	Copb2	
PBLD	1	Pbld2	
PSME2	1	Psme2	
MEP1B	1	Mep1b	
ATP5ME	1	Atp5k	
SCO2	1	Sco2	
COX5B	1	Cox5b	
NDUFC2	1	Ndufc2	
NDUFS7	1	Ndufs7	
ACAT1	1	Acat1	
NDUFS5	1	Ndufs5	
SLC6A20	1	Slc6a20a	
TGFBI	1	Tgfbi	
NDUFB4	1	Ndufb4	
SDHD	1	Sdhd	
MRPL12	1	Mrpl12	
PDZK1	1	Pdzk1	
OGDH	1	Ogdh	
NDUFS4	1	Ndufs4	
SCP2	1	Scp2	
LEAP2	1	Leap2	
SLC25A11	1	Slc25a11	
NDUFA4	1	Ndufa4	
COX6C	1	Cox6c	
COX7A1	1	Cox7a1	
LRRC59	1	Lrrc59	
NDUFS3	1	Ndufs3	
ATP5IF1	1	Atpif1	
TMEM252	1	Tmem252	
HSD17B6	1	Hsd17b6	
RDH16	1	Rdh7	
IL18	1	Il18	
PLPP1	1	Plpp1	
PSMA4	1	Psma4	
SLC16A10	1	Slc16a10	
VDAC2	1	Vdac2	
NAPRT	1	Naprt	
ECI2	1	Eci3	
NDUFAB1	1	Ndufab1	
ATP5PF	1	Atp5j	
UBB	1	Ubb	
BPNT1	1	Bpnt1	
OCIAD2	1	Ociad2	
C15orf48	1	AA467197	
SOD2	1	Sod2	
MT-ND4	1	mt-Nd4	
COX6A1	1	Cox6a1	
MOCS2	1	Mocs2	
ACAA2	1	Acaa2	
IDH3A	1	Idh3a	
SLC25A5	1	Slc25a5	
SLC9A3	1	Slc9a3	
PRDX2	1	Prdx2	
SLC35C2	1	Slc35c2	
TMEM14C	1	Tmem14c	
NDUFA10	1	Ndufa10	
PSMB9	1	Psmb9	
SLC3A2	1	Slc3a2	
SLC25A45	1	Slc25a45	
CYB5R3	1	Cyb5r3	
ALDH9A1	1	Aldh9a1	
ATP5PD	1	Atp5h	
FAHD1	1	Fahd1	
MAOA	1	Maoa	
BCHE	1	Bche	
ADIPOR2	1	Adipor2	
CES1	1	Ces1f	
PHYH	1	Phyh	
LYPD8	1	Lypd8	
NDUFB8	1	Ndufb8	
CASP1	1	Casp1	
YIF1A	1	Yif1a	
NDUFV1	1	Ndufv1	
SLC28A1	1	Slc28a1	
